data;estado;municipio;confirmados;obitos;populacao
44008;SE;Nossa Senhora do Socorro;1459;63;183628
44008;AM;Benjamin Constant;1446;27;42984
44008;MG;Juiz de Fora;1435;48;568873
44008;AM;Itacoatiara;1430;53;101337
44008;SC;Blumenau;1428;7;357199
44008;SC;Joinville;1422;35;590466
44008;RJ;Belford Roxo;1404;172;510906
44008;CE;Juazeiro do Norte;1377;75;274207
44008;AM;Tabatinga;1375;71;65844
44008;PA;Paragominas;1355;74;113145
44008;SP;Suzano;1339;102;297637
44008;ES;Colatina;1336;26;122499
44008;CE;Eusébio;1334;32;53618
44008;RJ;Itaguaí;1316;76;133019
44008;MA;Santa Luzia;1299;3;72667
44008;SC;Florianópolis;1279;13;500973
44008;SC;Balneário Camboriú;1274;10;142295
44008;PA;Benevides;1272;48;62737
44008;MA;Barra do Corda;1266;14;88212
44008;SP;Itaquaquecetuba;1256;128;370821
44007;PR;Londrina;1233;63;569733
44008;AL;Marechal Deodoro;1231;14;51901
44008;CE;Canindé;1225;35;76997
44008;PE;Camaragibe;1225;95;157828
44008;BA;Lauro de Freitas;1222;31;198440
44008;MA;Timon;1218;21;169107
44008;AM;Iranduba;1207;39;48296
44008;SC;Concórdia;1207;13;74641
44008;SP;Cotia;1197;83;249210
44008;RJ;Maricá;1190;55;161207
44008;SP;Embu das Artes;1169;85;273726
44008;BA;Ilhéus;1138;41;162327
44008;PA;Moju;1137;29;82094
44008;CE;Itarema;1134;20;41826
44008;CE;Tianguá;1121;37;75946
44008;SP;Bauru;1117;25;376818
44008;BA;Camaçari;1105;19;299132
44007;RN;São Gonçalo do Amarante;1105;41;102400
44003;PB;Santa Rita;1104;89;136586
44008;MA;Pedreiras;1095;20;39229
44006;RO;Ariquemes;1095;20;107863
44008;PA;Breves;1092;70;102701
44006;RO;Guajará-Mirim;1087;42;46174
44008;MA;Buriticupu;1076;4;72358
44008;PA;Curuçá;1063;48;40066
44008;RS;Bento Gonçalves;1060;29;120454
44008;MT;Várzea Grande;1055;102;284971
44008;MA;Santa Helena;1049;4;42130
44003;PB;Patos;1046;50;107605
44008;SP;Itapevi;1044;126;237700
44008;MT;Rondonópolis;1038;37;232491
44008;PA;Ourilândia do Norte;1022;3;32832
44008;PA;Tucuruí;1022;80;113659
44008;BA;Teixeira de Freitas;1016;12;160487
44008;SP;Santana de Parnaíba;999;34;139447
44008;AM;Santo Antônio do Içá;998;19;21602
44008;SE;Itabaiana;984;18;95427
44008;PA;Redenção;981;14;84787
44008;RJ;Teresópolis;973;44;182594
44008;CE;Cascavel;969;69;71743
44008;AM;Presidente Figueiredo;965;20;36279
44008;PA;Igarapé-Miri;964;30;62698
44008;CE;Pacatuba;961;67;83432
44008;MA;Coelho Neto;958;15;49435
44008;AM;Autazes;949;27;39565
44008;SP;Itapecerica da Serra;948;74;175693
44008;PA;São Miguel do Guamá;944;26;58986
44008;PA;Tailândia;936;22;106339
44008;CE;Horizonte;933;56;67337
44008;AM;Maués;926;30;63905
44008;AM;Careiro;918;13;37869
44008;SP;Francisco Morato;915;44;175844
44008;CE;Morada Nova;909;17;61890
44008;CE;Russas;908;20;78194
44008;MG;Contagem;908;37;663855
44008;PE;Cabo de Santo Agostinho;905;146;207048
44007;PR;Maringá;900;15;423666
44008;RS;Caxias do Sul;897;15;510906
44008;MA;Caxias;891;22;164880
44008;MA;Urbano Santos;887;5;33122
44008;SP;Sumaré;887;27;282441
44008;PE;Vitória de Santo Antão;886;107;138757
44008;MA;São José de Ribamar;882;83;177687
44003;PB;Mamanguape;878;12;44882
44008;SP;Barretos;864;27;122098
44008;AP;Mazagão;862;6;21632
44008;ES;Guarapari;856;34;124859
44008;PA;Oriximiná;855;21;73096
44008;AM;Barcelos;853;22;27502
44008;SP;Ferraz de Vasconcelos;849;67;194276
44008;SP;Lençóis Paulista;849;18;68432
44008;PA;Viseu;848;15;61403
44008;SP;Araraquara;847;11;236072
44008;CE;Bela Cruz;839;13;32591
44008;MA;Grajaú;836;12;69527
44008;AP;Vitória do Jari;832;10;15931
44008;PA;Capanema;830;54;69027
44008;BA;Jequié;828;27;155966
44008;MG;Governador Valadares;816;30;279885
44008;SP;Paulínia;803;11;109424
44008;SE;São Cristóvão;801;35;90072
44008;RJ;Petrópolis;799;90;306191
44008;MA;Lago da Pedra;798;35;50266
44008;RJ;Cabo Frio;791;35;226525
44008;PE;Palmares;787;42;63250
44008;AL;São Miguel dos Campos;771;15;61251
44008;SP;Franco da Rocha;769;64;154489
